taxi_id,start_time,start_location,end_time
353,2008/2/2 15:55,"['116.4304', '39.91373']",301
1117,2008/2/2 13:32,"['116.47256', '39.986']",301
2156,2008/2/2 13:56,"['116.45555', '39.90237']",496
5126,2008/2/2 13:43,"['116.48941', '39.97016']",329
5545,2008/2/2 13:34,"['116.40312', '39.96738']",301
6383,2008/2/2 13:39,"['116.32117', '39.97509']",604
6688,2008/2/2 13:39,"['116.46833', '39.83928']",600
8488,2008/2/2 13:37,"['116.51743', '39.96958']",604
9130,2008/2/2 13:36,"['116.3501', '39.91738']",302
9232,2008/2/2 13:32,"['116.38191', '39.94279']",240
9415,2008/2/2 13:32,"['116.3109', '39.97469']",302
9945,2008/2/2 14:30,"['116.42809', '39.92755']",210
9950,2008/2/2 13:31,"['116.4116', '39.91746']",240
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
