
Dataset,Algorithm,Ratio,Number,Budget,TR Benefit,TPs Benefit,TR Time,TPs Time,cp Time,KeyLen,
TDrive,rate,1.0,13,720,4537,182.0769230769231,410,19,28,128,
TDrive,rate,2.0,13,720,9794,182.0769230769231,30,6,20,128,
TDrive,rate,3.0,13,720,15051,182.0769230769231,22,4,15,128,
TDrive,rate,4.0,13,720,20308,182.0769230769231,20,4,14,128,
TDrive,rate,5.0,13,720,25565,182.0769230769231,18,3,12,128,

TDrive,DP,1.0,13,720,4537,182.0769230769231,4,0,4,0,
TDrive,DP,2.0,13,720,9794,182.0769230769231,2,0,2,0,
TDrive,DP,3.0,13,720,15051,182.0769230769231,2,0,2,0,
TDrive,DP,4.0,13,720,20308,182.0769230769231,1,0,1,0,
TDrive,DP,5.0,13,720,25565,182.0769230769231,1,0,1,0,

TDrive,BBOM,1.0,13,720,4527,182.0769230769231,0,0,0,0,
TDrive,BBOM,2.0,13,720,9774,182.0769230769231,1,1,0,0,
TDrive,BBOM,3.0,13,720,15021,182.0769230769231,0,0,0,0,
TDrive,BBOM,4.0,13,720,20268,182.0769230769231,0,0,0,0,
TDrive,BBOM,5.0,13,720,25515,182.0769230769231,0,0,0,0,

TDrive,NSGAII,1.0,13,720,4537,122.30769230769238,197,0,197,0,
TDrive,NSGAII,2.0,13,720,9794,122.30769230769238,117,0,117,0,
TDrive,NSGAII,3.0,13,720,15051,122.30769230769238,76,0,76,0,
TDrive,NSGAII,4.0,13,720,20308,122.30769230769238,74,0,74,0,
TDrive,NSGAII,5.0,13,720,25565,122.30769230769238,71,0,71,0,

Dataset,Algorithm,Ratio,Number,Budget,TR Benefit,TPs Benefit,TR Time,TPs Time,cp Time,KeyLen,
TDrive,rate,1.0,13,1500,4825,782.7692307692308,18,3,13,128,
TDrive,rate,1.0,23,1500,8540,538.1739130434784,27,7,18,128,
TDrive,rate,1.0,43,1500,11394,321.20930232558135,43,11,30,128,
TDrive,rate,1.0,52,1500,12525,205.38461538461524,48,12,34,128,
TDrive,rate,1.0,75,1500,13353,109.86666666666656,83,19,62,128,
TDrive,rate,1.0,95,1500,13889,31.200000000000045,84,24,58,128,

TDrive,DP,1.0,13,1500,4825,782.7692307692308,2,0,2,0,
TDrive,DP,1.0,23,1500,8540,538.1739130434784,2,0,1,0,
TDrive,DP,1.0,43,1500,11394,321.20930232558135,2,0,2,0,
TDrive,DP,1.0,52,1500,12525,205.38461538461524,2,0,2,0,
TDrive,DP,1.0,75,1500,13353,109.86666666666656,3,0,3,0,
TDrive,DP,1.0,95,1500,13889,31.200000000000045,3,0,3,0,

TDrive,BBOM,1.0,13,1500,4825,782.7692307692308,0,0,0,0,
TDrive,BBOM,1.0,23,1500,8460,538.1739130434784,1,1,0,0,
TDrive,BBOM,1.0,43,1500,11345,321.20930232558135,0,0,0,0,
TDrive,BBOM,1.0,52,1500,12521,205.38461538461524,1,1,0,0,
TDrive,BBOM,1.0,75,1500,13284,109.86666666666656,1,0,1,0,
TDrive,BBOM,1.0,95,1500,13849,31.200000000000045,0,0,0,0,

TDrive,NSGAII,1.0,13,1500,4825,782.7692307692308,59,0,59,0,
TDrive,NSGAII,1.0,23,1500,8540,484.7391304347826,85,0,85,0,
TDrive,NSGAII,1.0,43,1500,11292,321.20930232558135,170,0,170,0,
TDrive,NSGAII,1.0,52,1500,12146,205.38461538461524,218,0,218,0,
TDrive,NSGAII,1.0,75,1500,12161,216.79999999999995,389,0,389,0,
TDrive,NSGAII,1.0,95,1500,12437,194.4000000000001,561,0,561,0,

Dataset,Algorithm,Ratio,Number,Budget,TR Benefit,TPs Benefit,TR Time,TPs Time,cp Time,KeyLen,
Knapsack,dp,---,10,997,600,967.0,0,0,0,0,
Knapsack,dp,---,20,997,797,957.0,0,0,0,0,
Knapsack,dp,---,40,997,1193,937.0,0,0,0,0,
Knapsack,dp,---,100,997,2700,877.0,0,0,0,0,
Knapsack,dp,---,140,997,3698,837.0,0,0,0,0,
Knapsack,dp,---,200,997,4400,807.0,0,0,0,0,

Knapsack,BBOM,---,10,997,350,967.0,0,0,0,0,
Knapsack,BBOM,---,20,997,475,957.0,0,0,0,0,
Knapsack,BBOM,---,40,997,984,937.0,0,0,0,0,
Knapsack,BBOM,---,100,997,2565,877.0,0,0,0,0,
Knapsack,BBOM,---,140,997,3653,837.0,0,0,0,0,
Knapsack,BBOM,---,200,997,4400,807.0,0,0,0,0,

